################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5841564259971825E+00 a       331     0    14     1     6
  3.7952166559496261E+00 a       332     0    14     1     7
  5.3436212882817982E+00 a       333     0    14     1     8
 -9.7665727579074013E-01 a       334     0    14     1     9
  3.3276396768664900E+00 a       335     0    14     1    10
 -9.3593502008355323E-01 a       336     0    14     1    11
  2.9949905653706481E+00 a       337     0    14     1    12
 -1.7530529513953519E-01 a       338     0    14     1    13
 -7.2080088298478368E-02 a       339     0    14     1    14
  1.4003168823623380E+00 a       340     0    14     1    15
  4.4267356526704056E+00 a       341     0    14     1    16
 -6.4614455123312786E-01 a       342     0    14     1    17
  5.0398652513626381E+00 a       343     0    14     1    18
  3.2073590490225046E+00 a       344     0    14     1    19
 -3.1969330572493688E+00 a       345     0    14     1    20
 -1.4817530141419311E+00 a       346     0    14     1    21
  2.0957263693828723E+00 a       347     0    14     1    22
  1.4335799767921271E+00 a       348     0    14     1    23
 -7.2316064724555842E+00 a       349     0    14     1    24
  3.6312035908142879E+00 a       350     0    14     1    25
 -9.0659956797196450E+00 a       351     0    15     1     1
 -1.5576555031246819E+01 a       352     0    15     1     2
  4.9627051257481669E-01 a       353     0    15     1     3
 -2.9603984672127108E+01 a       354     0    15     1     4
  1.6050727842908380E+01 a       355     0    15     1     5
 -3.3900192060167518E+00 a       356     0    15     1     6
  1.0200760989610236E+01 a       357     0    15     1     7
 -7.8121485697048803E+00 a       358     0    15     1     8
  5.0919119328826001E+00 a       359     0    15     1     9
 -9.6804725087487711E+00 a       360     0    15     1    10
 -1.3394477290696094E+00 a       361     0    15     1    11
  4.8248601751328266E+01 a       362     0    15     1    12
 -3.0170898619558173E+01 a       363     0    15     1    13
  8.5030918857662634E+00 a       364     0    15     1    14
 -4.3167693529425762E+01 a       365     0    15     1    15
 -1.3520920807555171E+01 a       366     0    15     1    16
 -2.5383666538918465E+01 a       367     0    15     1    17
 -3.5376470402263024E+01 a       368     0    15     1    18
  3.8409394352500875E+01 a       369     0    15     1    19
  9.7170640997853059E+00 a       370     0    15     1    20
  2.0226934032791441E+01 a       371     0    15     1    21
  1.8743314208753514E+01 a       372     0    15     1    22
  2.4940140515277065E+01 a       373     0    15     1    23
  1.3814815460201160E+01 a       374     0    15     1    24
  6.2771236424915342E+00 a       375     0    15     1    25
  1.0767588177169265E+00 a       376     0    16     1     1
 -4.6557788742595516E+00 a       377     0    16     1     2
  6.3358882527125315E-01 a       378     0    16     1     3
  5.8209518453749887E+00 a       379     0    16     1     4
 -3.7876080713599197E-01 a       380     0    16     1     5
 -1.7214969077435218E+00 a       381     0    16     1     6
 -2.9950258995822772E+00 a       382     0    16     1     7
  1.6481710835412500E+00 a       383     0    16     1     8
 -6.1490030261993811E-01 a       384     0    16     1     9
  7.2367898650334106E-01 a       385     0    16     1    10
  8.9770752361639794E-01 a       386     0    16     1    11
  5.8866017885462940E-01 a       387     0    16     1    12
  6.5648919189141628E+00 a       388     0    16     1    13
 -4.0253728786342329E+00 a       389     0    16     1    14
  2.5486983625739037E+00 a       390     0    16     1    15
 -1.7674982465035413E-01 a       391     0    16     1    16
  1.7646305847663242E+00 a       392     0    16     1    17
 -5.5723954915018403E-01 a       393     0    16     1    18
 -2.3965636673819781E+00 a       394     0    16     1    19
  3.5906384698603971E-01 a       395     0    16     1    20
  1.5826381824764018E+00 a       396     0    16     1    21
 -3.7848358707486858E+00 a       397     0    16     1    22
  6.0945243837275409E-01 a       398     0    16     1    23
  2.1508022802571856E+00 a       399     0    16     1    24
  1.2813689186526720E+00 a       400     0    16     1    25
  2.6308633431112316E+00 a       401     0    17     1     1
  7.1756357602239014E+00 a       402     0    17     1     2
  4.2417050728795127E+00 a       403     0    17     1     3
  6.3332434625425629E+00 a       404     0    17     1     4
  1.2296464402079648E+00 a       405     0    17     1     5
 -3.3570823609486928E+00 a       406     0    17     1     6
 -1.1170565549828018E+00 a       407     0    17     1     7
  2.0552355925620343E+00 a       408     0    17     1     8
 -1.9959597826467035E+00 a       409     0    17     1     9
  2.4172326770662642E+00 a       410     0    17     1    10
  6.2573477778399145E-01 a       411     0    17     1    11
 -1.5176065748589730E+01 a       412     0    17     1    12
  9.1708634980224719E+00 a       413     0    17     1    13
 -9.4428700497937135E-01 a       414     0    17     1    14
  9.6601732732865973E+00 a       415     0    17     1    15
  3.5918726106974597E+00 a       416     0    17     1    16
  1.2921618395179291E+01 a       417     0    17     1    17
  8.5915573789905757E+00 a       418     0    17     1    18
 -1.0187022852167727E+01 a       419     0    17     1    19
 -7.2533106556153371E-01 a       420     0    17     1    20
 -1.1047025223139284E+00 a       421     0    17     1    21
 -1.6225588953566017E+00 a       422     0    17     1    22
 -8.3642560936203161E+00 a       423     0    17     1    23
 -1.7928924558867987E+00 a       424     0    17     1    24
 -1.6275941811509427E+00 a       425     0    17     1    25
  1.2965448071752950E+00 a       426     0    18     1     1
  1.2942111436263843E+00 a       427     0    18     1     2
  6.6560082449523978E+00 a       428     0    18     1     3
 -1.1931918525865095E+01 a       429     0    18     1     4
 -1.4620911865193394E+01 a       430     0    18     1     5
 -5.5803187915484997E+00 a       431     0    18     1     6
 -9.5603917243344994E-01 a       432     0    18     1     7
  1.5302763889099600E+00 a       433     0    18     1     8
  6.4056801263216316E+00 a       434     0    18     1     9
 -7.8736823279328476E+00 a       435     0    18     1    10
  4.6474812453741210E+00 a       436     0    18     1    11
 -6.0807743226597943E-01 a       437     0    18     1    12
  1.1157545339216151E+01 a       438     0    18     1    13
 -5.5998275868750156E+00 a       439     0    18     1    14
 -3.7793473487894489E+00 a       440     0    18     1    15
  5.5720598559142847E+00 a       441     0    18     1    16
  6.6572807287542730E+00 a       442     0    18     1    17
 -5.8659051275625123E+00 a       443     0    18     1    18
 -2.5494852424525284E+01 a       444     0    18     1    19
 -1.0218844007929810E+00 a       445     0    18     1    20
 -3.5551881408049244E+00 a       446     0    18     1    21
 -3.9852046192615220E+00 a       447     0    18     1    22
  1.4027484636744060E+01 a       448     0    18     1    23
  2.2559975868866189E+01 a       449     0    18     1    24
 -1.4416381563048757E+01 a       450     0    18     1    25
 -5.4157325177487958E-01 a       451     0    19     1     1
  1.3720301500512893E+00 a       452     0    19     1     2
  1.9104953288176044E-01 a       453     0    19     1     3
 -2.7949659099301609E+00 a       454     0    19     1     4
 -8.8728543960966788E-01 a       455     0    19     1     5
  1.3077297267934580E+00 a       456     0    19     1     6
  1.1104078070381036E+00 a       457     0    19     1     7
 -2.0979595282224681E-01 a       458     0    19     1     8
  1.1571395730472713E+00 a       459     0    19     1     9
  9.6969956285831327E-02 a       460     0    19     1    10
 -2.8998221894002435E-01 a       461     0    19     1    11
  1.8384017189974751E+00 a       462     0    19     1    12
 -1.6725276866916903E+00 a       463     0    19     1    13
  1.2491758110864315E-01 a       464     0    19     1    14
 -1.2484818423360935E+00 a       465     0    19     1    15
 -2.9491151036516636E+00 a       466     0    19     1    16
  8.3159918929566090E-01 a       467     0    19     1    17
  7.0111827720001796E-01 a       468     0    19     1    18
  4.2022316186923501E+00 a       469     0    19     1    19
 -3.6589075074499372E-01 a       470     0    19     1    20
  1.9427289747744929E+00 a       471     0    19     1    21
  1.3300709435693532E+00 a       472     0    19     1    22
  2.9643267720469009E+00 a       473     0    19     1    23
 -5.1970513091782844E-01 a       474     0    19     1    24
 -2.0258850614787813E+00 a       475     0    19     1    25
 -8.8985021675292431E-01 a       476     0    20     1     1
 -9.7269245570355312E-01 a       477     0    20     1     2
 -1.7049187841137521E+00 a       478     0    20     1     3
  4.1455960405318919E+00 a       479     0    20     1     4
  6.3633811696461571E+00 a       480     0    20     1     5
 -1.9365320407120754E-01 a       481     0    20     1     6
 -2.3644533110374336E-01 a       482     0    20     1     7
 -2.5732608145105704E+00 a       483     0    20     1     8
 -2.1345883124231375E+00 a       484     0    20     1     9
  1.0689398039855755E+00 a       485     0    20     1    10
 -1.8183361559810316E+00 a       486     0    20     1    11
 -3.2679693560003313E+00 a       487     0    20     1    12
 -3.1257368575240307E+00 a       488     0    20     1    13
  2.1643143172311397E+00 a       489     0    20     1    14
  2.2499491459926813E-01 a       490     0    20     1    15
 -5.8919752881912713E+00 a       491     0    20     1    16
 -1.7325696083097684E+00 a       492     0    20     1    17
 -4.3178572156939588E+00 a       493     0    20     1    18
  7.6375105725873214E+00 a       494     0    20     1    19
  1.4184865173566954E+00 a       495     0    20     1    20
  1.3794883766372439E+00 a       496     0    20     1    21
  2.0665316163802947E+00 a       497     0    20     1    22
 -1.0621451096951313E+01 a       498     0    20     1    23
 -3.7967839394050649E+00 a       499     0    20     1    24
  4.9005651072464644E+00 a       500     0    20     1    25
  1.8905508987683134E-01 a       501     0    21     1     1
  1.7387176992599476E+00 a       502     0    21     1     2
  3.2102852832165323E+00 a       503     0    21     1     3
 -3.6471966542483090E+00 a       504     0    21     1     4
  2.1036858160512351E+00 a       505     0    21     1     5
 -2.0216481459917914E+00 a       506     0    21     1     6
  5.1315007321975870E-01 a       507     0    21     1     7
  1.3660633466232865E+00 a       508     0    21     1     8
  1.9254258827154574E-01 a       509     0    21     1     9
 -4.0066356670625153E-01 a       510     0    21     1    10
 -1.0002332135223065E-01 a       511     0    21     1    11
  4.0036008225920994E-01 a       512     0    21     1    12
